date,exchange_rate
2009-01-02,0
2009-01-05,0
2009-01-08,0
2009-01-11,0
2009-01-14,0
2009-01-17,0
2009-01-20,0
2009-01-23,0
2009-01-26,0
2009-01-29,0
2009-02-01,0
2009-02-04,0
2009-02-07,0
2009-02-10,0
2009-02-13,0
2009-02-16,0
2009-02-19,0
2009-02-22,0
2009-02-25,0
2009-02-28,0
2009-03-03,0
2009-03-06,0
2009-03-09,0
2009-03-12,0
2009-03-15,0
2009-03-18,0
2009-03-21,0
2009-03-24,0
2009-03-27,0
2009-03-30,0
2009-04-02,0
2009-04-05,0
2009-04-08,0
2009-04-11,0
2009-04-14,0
2009-04-17,0
2009-04-20,0
2009-04-23,0
2009-04-26,0
2009-04-29,0
2009-05-02,0
2009-05-05,0
2009-05-08,0
2009-05-11,0
2009-05-14,0
2009-05-17,0
2009-05-20,0
2009-05-23,0
2009-05-26,0
2009-05-29,0
2009-06-01,0
2009-06-04,0
2009-06-07,0
2009-06-10,0
2009-06-13,0
2009-06-16,0
2009-06-19,0
2009-06-22,0
2009-06-25,0
2009-06-28,0
2009-07-01,0
2009-07-04,0
2009-07-07,0
2009-07-10,0
2009-07-13,0
2009-07-16,0
2009-07-19,0
2009-07-22,0
2009-07-25,0
2009-07-28,0
2009-07-31,0
2009-08-03,0
2009-08-06,0
2009-08-09,0
2009-08-12,0
2009-08-15,0
2009-08-18,0
2009-08-21,0
2009-08-24,0
2009-08-27,0
2009-08-30,0
2009-09-02,0
2009-09-05,0
2009-09-08,0
2009-09-11,0
2009-09-14,0
2009-09-17,0
2009-09-20,0
2009-09-23,0
2009-09-26,0
2009-09-29,0
2009-10-02,0
2009-10-05,0
2009-10-08,0
2009-10-11,0
2009-10-14,0
2009-10-17,0
2009-10-20,0
2009-10-23,0
2009-10-26,0
2009-10-29,0
2009-11-01,0
2009-11-04,0
2009-11-07,0
2009-11-10,0
2009-11-13,0
2009-11-16,0
2009-11-19,0
2009-11-22,0
2009-11-25,0
2009-11-28,0
2009-12-01,0
2009-12-04,0
2009-12-07,0
2009-12-10,0
2009-12-13,0
2009-12-16,0
2009-12-19,0
2009-12-22,0
2009-12-25,0
2009-12-28,0
2009-12-31,0
2010-01-03,0
2010-01-06,0
2010-01-09,0
2010-01-12,0
2010-01-15,0
2010-01-18,0
2010-01-21,0
2010-01-24,0
2010-01-27,0
2010-01-30,0
2010-02-02,0
2010-02-05,0
2010-02-08,0
2010-02-11,0
2010-02-14,0
2010-02-17,0
2010-02-20,0
2010-02-23,0
2010-02-26,0
2010-03-01,0
2010-03-04,0
2010-03-07,0
2010-03-10,0
2010-03-13,0
2010-03-16,0
2010-03-19,0
2010-03-22,0
2010-03-25,0
2010-03-28,0
2010-03-31,0
2010-04-03,0
2010-04-06,0
2010-04-09,0
2010-04-12,0
2010-04-15,0
2010-04-18,0
2010-04-21,0
2010-04-24,0
2010-04-27,0
2010-04-30,0
2010-05-03,0
2010-05-06,0
2010-05-09,0
2010-05-12,0
2010-05-15,0
2010-05-18,0
2010-05-21,0
2010-05-24,0
2010-05-27,0
2010-05-30,0
2010-06-02,0
2010-06-05,0
2010-06-08,0
2010-06-11,0
2010-06-14,0
2010-06-17,0
2010-06-20,0
2010-06-23,0
2010-06-26,0
2010-06-29,0
2010-07-02,0
2010-07-05,0
2010-07-08,0
2010-07-11,0
2010-07-14,0
2010-07-17,0.09
2010-07-20,0.07
2010-07-23,0.06
2010-07-26,0.06
2010-07-29,0.06
2010-08-01,0.06
2010-08-04,0.07
2010-08-07,0.07
2010-08-10,0.07
2010-08-13,0.07
2010-08-16,0.07
2010-08-19,0.06
2010-08-22,0.06
2010-08-25,0.06
2010-08-28,0.06
2010-08-31,0.06
2010-09-03,0.06
2010-09-06,0.06
2010-09-09,0.06
2010-09-12,0.06
2010-09-15,0.06
2010-09-18,0.06
2010-09-21,0.06
2010-09-24,0.06
2010-09-27,0.06
2010-09-30,0.06
2010-10-03,0.06
2010-10-06,0.06
2010-10-09,0.06
2010-10-12,0.1
2010-10-15,0.1
2010-10-18,0.1
2010-10-21,0.1
2010-10-24,0.2
2010-10-27,0.2
2010-10-30,0.2
2010-11-02,0.3
2010-11-05,0.3
2010-11-08,0.3
2010-11-11,0.3
2010-11-14,0.3
2010-11-17,0.3
2010-11-20,0.3
2010-11-23,0.3
2010-11-26,0.2
2010-11-29,0.2
2010-12-02,0.2
2010-12-05,0.2
2010-12-08,0.2
2010-12-11,0.2
2010-12-14,0.2
2010-12-17,0.2
2010-12-20,0.3
2010-12-23,0.3
2010-12-26,0.3
2010-12-29,0.3
2011-01-01,0.3
2011-01-04,0.3
2011-01-07,0.3
2011-01-10,0.3
2011-01-13,0.3
2011-01-16,0.3
2011-01-19,0.3
2011-01-22,0.3
2011-01-25,0.4
2011-01-28,0.6
2011-01-31,0.7
2011-02-03,0.8
2011-02-06,0.9
2011-02-09,1
2011-02-12,1.1
2011-02-15,1.1
2011-02-18,1
2011-02-21,0.9
2011-02-24,0.9
2011-02-27,0.9
2011-03-02,0.9
2011-03-05,0.8
